,HH-001,HH-002,HH-003,HH-004,HH-005,HH-006,HH-007,HH-009,HH-010,HH-011,HH-012,HH-013,HH-014,HH-015,HH-016,HH-017,HH-018,HH-019,HH-020,HH-021,HH-022,HH-023,HH-024,HH-025,HH-026,HH-027,HH-028,HH-029,HH-030,HH-032,HH-033,HH-034,HH-035,HH-036,HH037,HH038,HH039,HH040,HH041,HH042,HH043,HH044,HH045,HH046,HH047,HH048,HH-049,HH-050,HH-051,HH-053,HH-054,HH-055,HH-056,HH-058,HH-059,HH-060,HH061,HH062,HH063,HH064,HH065,HH066,HH067,HH068,HH069,HH070,HH071,HH072,HH073,HH074,HH075,HH076,HH077,HH078,HH079,HH080,HH081,HH082,HH083,HH084,HH085,HH087,HH088,HH089,HH090,HH091,HH092,HH093,HH094,HH095,HH096,HH097,HH098,HH099,HH100,HH101,HH102,HH103,HH104,HH105,HH106,HH107,HH108,HH109,HH110,HH111,HH112,HH113,HH114,HH115,HH116,HH117,HH118,HH119,HH121,HH122,HH123,HH124,HH125,HH126,HH127,HH128,HH129,HH130,HH131,HH132,HH052,HH057,HH086,HH120,HH143,HH144,HH145,HH146,HH147,HH148,HH149,HH150,HH008,HH031,HH133,HH134,HH135,HH136,HH137,HH138,HH139,HH140,HH141,HH142
ALDH3B2,241.63,482.8,148.25,532.9,70.59,156.61,188.62,359.09,81.43,377.69,394.91,531.19,219.69,34.93,376.64,38.2,317.27,68.9,411.1,108.25,32.42,30.12,14.79,443.56,768.59,629.12,406.56,414.39,213.42,379.89,389.42,385.08,1605.67,371.4,151.55,468.32,118.1,460.55,402.08,269.98,209,188.21,103.21,1462.38,33.57,28.8,45.59,62.13,69.46,328.14,54.61,551.75,181.52,97.71,219.98,1346.2,243.04,32.23,605.39,238.48,277.22,71.63,111.1,250.16,61.66,316.67,126.54,36.96,343.73,223.91,294.36,2255.35,47.34,994.79,132.18,348.19,144.72,665.28,2183.91,763.46,26.18,1729.31,192.78,301.26,32.51,27.57,43.92,73.83,128.93,289.89,95.35,657.74,225.8,99.85,429.3,121.2,300.79,227.97,440.62,139.31,490.51,666.79,1009.83,576.13,276.65,155.82,237.35,36.3,819.17,980.33,36.04,1145.31,1582.33,816.36,79.28,1868.16,153.09,167.25,94.22,1939.96,124.38,149.59,359.35,35.61,130.98,24.25,136.66,111.59,479.04,133.57,354.57,122.3,329.43,284.38,322.18,293.37,176.15,267.36,78.8,172.15,425.24,280.47,1154.08,30.82,103.23,168.78,304.99,186.53,416.87,291.62
ASF1B,162.02,214.84,132.3,38.78,165.43,122.88,36.39,219.49,118.45,126.53,339.76,297.01,369.23,34.93,152.47,38.2,400,31.77,195.06,83.43,146.85,161.63,14.79,120.35,258.19,159.01,241.8,324,158.03,65.36,181.33,258.44,91.52,91.46,304.08,114.22,36.17,270.6,327.34,30.34,83.29,45.92,50.85,495.18,251.27,28.8,110.25,160.1,226.05,189.37,32.12,121.89,80.96,23.35,190.22,193.56,318.86,88.25,231.1,729.53,94.87,252.69,104.62,1127.49,166.95,234.06,32.5,124.01,224.75,220.72,228.13,270.05,352.94,185.73,142.35,123.67,348.24,153.81,210.96,203.17,141.64,192.41,124.03,164.1,32.51,181.05,157.89,193.81,95.69,137.96,25.86,207.46,171.16,219.82,279.75,253.29,168.87,319.16,197.22,93.06,66.34,114.87,79.95,80.39,181.2,60.52,198.66,189.59,205.97,424.54,36.04,445.95,121.64,175.89,48.22,84.92,275.07,205.93,179.67,157.33,182.38,32.46,284.08,35.61,274.08,24.25,66.72,341.84,179.14,201.2,148.73,112.17,26.47,88.5,224.49,843.78,69.53,35.62,40.07,60.49,51.44,451.9,131.65,163.85,703.82,223.15,451.88,476.4,107.22,42.02
C6orf118,24.55,32.97,97.06,203.45,34.93,35.69,284.41,29.89,36.06,26.08,237.34,98.53,43.14,3474.59,38.3,192.04,34.88,506.89,53.48,44.13,119.9,26.59,14.79,38.75,39.07,29.08,39.81,37.34,49.82,30.69,35.83,33.86,31.14,87.31,56.09,25.42,758.75,42.43,42.76,439.73,25.77,675.13,384.76,52.12,33.57,510.83,51.39,146.56,91.83,68.57,47.12,16.34,34.94,488.57,19.55,13.63,55.05,201.26,45.08,65.41,34.74,25.72,80.54,66.39,39.29,47.99,91.2,36.96,27.52,65.79,52.02,28.97,76.4,39.38,30.84,35.59,36.26,38,30.84,73.01,31.22,294.55,25.77,28.44,49.46,31.25,96.16,83.06,23.72,23.34,141.86,27.68,23.44,32.67,201.11,41.6,73.88,38.39,51.18,47.14,36.7,25.6,34.68,34.65,29.63,148.09,14.37,36.3,38.36,50.89,302.04,31.42,37.96,29.84,48.22,48.83,38.22,85.72,37.89,27.54,40.1,32.46,180.89,168.77,209.8,24.25,42.64,33.54,27.55,31.36,84.99,31.84,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,67.59,27.73,30.41,141.91,270.6,34.64,33.76
CCDC78,41.9,32.97,35.83,146.65,34.93,35.69,167.08,40.39,36.06,26.08,135.9,33.51,43.14,1530.6,38.3,171.83,34.88,251.97,68.17,31.72,32.42,39.39,38.44,38.75,39.07,34.57,39.81,37.34,49.82,30.69,72.34,81.41,31.14,41.57,40.35,25.42,121.34,42.43,76.23,264.64,25.77,467.49,193.52,34.78,33.57,228.62,45.59,50.98,35.32,25.55,78.17,16.34,14.49,259.42,27.17,13.63,112.17,45.2,45.08,28.95,34.74,25.72,28.63,34.29,39.29,59.31,67.26,36.96,27.52,25.99,52.02,28.97,47.34,39.38,30.84,35.59,36.26,38,30.84,73.01,26.18,305.24,25.77,28.44,50.87,24.04,25.22,8.91,24.17,23.34,79.07,65.97,23.44,32.67,82.51,41.6,27.08,9.07,34.69,62.04,92.46,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,49.55,143.72,31.42,37.96,29.84,37.64,48.83,38.22,37.51,37.89,48.98,40.1,32.46,33.25,129.55,374.74,24.25,42.64,36.15,27.55,31.36,116.86,35.46,26.47,231.28,30.76,28.87,25.77,35.62,29.89,28.1,88.31,40.97,43.14,30.82,27.73,30.41,34.96,133.99,53.61,37
CDHR3,24.55,32.97,35.83,87.78,34.93,43.37,114.36,29.89,36.06,26.08,187.11,33.51,43.14,1535.83,38.3,74.64,34.88,224.41,28.8,30.15,32.42,26.59,14.79,38.75,39.07,29.08,39.81,37.34,49.82,30.69,35.83,33.86,31.14,25.96,33.41,25.42,291.21,42.43,42.76,346.17,25.77,800.19,497.83,34.78,33.57,283.99,22.38,43.01,23.55,29.39,18.2,16.34,13.15,248.18,19.55,13.63,55.05,48.43,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,64.98,36.96,27.52,25.99,52.02,28.97,47.34,39.38,39.4,35.59,36.26,38,30.84,25.26,26.18,167.47,25.77,28.44,32.51,26.65,25.22,8.91,23.72,23.34,25.86,27.68,23.44,32.67,139.23,41.6,27.08,9.07,34.69,47.14,35.9,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,157.2,31.42,37.96,29.84,37.64,48.83,38.22,37.51,37.89,27.54,40.1,32.46,33.25,153.32,126.13,24.25,42.64,33.54,27.55,31.36,25.79,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,164.64,34.64,33.76
CENPM,24.55,36.72,35.83,38.78,34.93,61.44,36.39,29.89,36.06,26.08,35.96,33.51,43.14,34.93,38.3,38.2,35.34,31.77,28.8,42.75,32.42,27.23,14.79,38.75,39.07,29.08,39.81,50.4,49.82,30.69,35.83,33.86,31.14,25.96,47.24,25.42,36.17,42.43,42.76,30.34,25.77,45.92,48.57,34.78,33.57,28.8,16.91,26.39,42.38,25.55,16.41,16.34,13.15,38.91,19.55,20.37,58.16,32.23,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,32.5,39.89,43.63,25.99,52.02,28.97,47.34,39.38,30.84,35.59,36.26,38,30.84,25.26,26.18,43.95,25.77,28.44,32.51,24.04,25.22,8.91,27.2,23.34,25.86,33.46,29.9,39.47,38.68,41.6,33.77,40.79,34.69,47.14,35.9,25.6,34.68,34.65,29.63,31.3,41.28,36.3,47.24,44.2,36.04,31.42,37.96,29.84,37.64,48.83,38.22,41.81,39.13,27.54,40.1,32.46,60.7,35.61,34.67,24.25,42.64,57.37,27.55,31.36,25.79,29.41,26.47,38.28,30.76,86.61,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,41.51,34.64,33.76
CENPU,223.47,167.96,349.69,117.73,269.54,179.5,65.35,187.89,332.08,157.21,295.44,314.14,492,164.83,274.65,52.87,573.5,49.21,201.35,141.34,374.53,289.65,113.06,133.22,125.51,134.81,304.56,422.39,206.9,127.99,387.44,130.51,98.77,164.91,380.84,248.44,101.92,377.78,258.58,69.5,144.57,86.21,129.01,583.5,375.32,100.02,159.98,211.87,269.61,180.39,58.89,159.1,322.99,93.39,439.96,164.45,290.82,160.36,204.46,585.63,190.42,334.26,84.25,1069.4,126.48,124.97,32.5,528.99,220.78,114.61,279.64,359.45,209.27,370.72,119.47,347.24,256.88,230.71,381.17,304.75,531.52,294.55,432.75,281.67,74.9,281.22,166.2,136.59,145.04,309.1,79.07,135.75,240.24,116.1,350.66,356.79,291.29,489.54,379.45,244.21,146.09,205.57,84.87,206.13,254.51,123.62,549.53,227.51,153.06,380.35,70.74,380.66,123.65,89.96,76.83,218.91,252.15,365.86,733.03,127.65,399,32.46,332.64,52.3,191.61,100.42,274.39,486.43,439.23,158.09,164.67,140.4,219.62,226.56,230.73,514.09,201.65,419.27,109.52,117.25,174.9,92.65,155.46,313.36,520.82,208.42,414.53,338.91,217.22,127.94
CNN1,24.55,32.97,35.83,82.62,34.93,35.69,23.42,51.8,36.06,130.37,35.96,33.51,43.14,34.93,51.5,108.07,34.88,31.77,28.8,30.15,32.42,26.59,83.67,38.75,39.07,29.08,39.81,51.2,49.82,30.69,35.83,33.86,31.14,25.96,33.41,25.42,36.17,42.43,42.76,30.34,25.77,45.92,34.21,79.63,33.57,28.8,16.91,554.36,17.4,25.55,16.41,16.34,13.15,19.16,27.17,13.63,30.24,37.67,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,32.5,36.96,27.52,25.99,52.02,28.97,47.34,39.38,30.84,35.59,36.26,38,30.84,49.2,26.18,32.99,25.77,28.44,32.51,26.65,25.22,8.91,23.72,23.34,25.86,27.68,75.27,32.67,26.9,70.81,27.08,9.07,78.64,70.5,35.9,25.6,34.68,34.65,29.63,31.3,159.96,36.3,38.36,25.64,36.04,31.42,43.23,29.84,37.64,189.31,63.04,37.51,82.25,27.54,40.1,85.83,33.25,35.61,57,685.22,42.64,33.54,50.43,135.26,25.79,29.41,26.47,67.26,66.52,28.87,25.77,717.01,1713.61,28.1,32.41,32.08,43.14,77.83,84.46,30.41,43.57,41.51,34.64,33.76
CRISPLD2,203.92,64.06,59.83,332.55,124.07,35.69,23.42,240.56,123.74,1666.04,35.96,124.23,238.15,34.93,657.35,175.71,123.7,31.77,28.8,30.15,68.04,135.56,2062.27,102.18,96.82,50.7,103.42,333.6,91.23,147.05,119.9,80.12,39.87,78.99,90.54,78.53,36.17,147.5,97.16,30.34,42.43,45.92,34.21,56.47,101.78,28.8,108.59,439.67,17.4,25.55,50.33,45.59,29.83,22.48,46.58,29.11,30.24,78.57,45.08,78.49,34.74,555.12,28.63,85.36,39.29,176.87,39.9,176.04,56.85,49.87,305.8,48.85,78.89,74.29,130.91,194.07,96.78,38,177.4,220.63,58.63,32.99,25.77,369.84,32.51,131.42,32.05,27.69,23.72,97.79,146.51,57.36,343.34,32.67,78.64,123.92,161.48,112.79,434.37,518.88,98.81,25.6,34.68,162.84,450.93,31.3,224.45,95.45,239.04,104.46,36.04,146.07,665.5,60.42,124.24,800.86,224.31,80.49,1028.48,46.01,136.26,122.62,356.92,298.32,346.84,1262.15,51.65,66.01,164.55,681.39,38.51,38.36,26.47,86.14,293.08,438.65,25.77,455.73,535.59,38.15,53.15,32.08,260.51,402.45,375.37,219.75,112.04,41.51,299.48,45.15
CYP4B1,177.38,451.55,35.83,74.36,34.93,1317.96,495.31,105.36,81.43,1227,519.98,4043.88,139.38,1117.21,55.54,38.2,351.01,87.6,2136.23,1372.77,32.42,421.15,14.79,451.88,1931.64,1103.83,76.32,40,1210.45,140.24,216.02,54.27,446.73,532.16,59.05,1072.27,231.35,87.02,496.24,112.27,158.72,230.71,34.21,55.02,33.57,28.8,16.91,176.82,1578.81,115.91,86.74,16.34,117.6,21.62,2387.41,481.72,729.12,492.92,246.42,192.19,51.81,565.07,318.48,47.42,125.21,2354.36,269.04,36.96,959.8,465.85,110.38,586.19,47.34,98.81,957.04,150.31,426.03,1478.26,47.95,2387.21,26.18,32.99,25.77,383.31,32.51,24.04,108.03,605.44,684.92,153.68,232.56,99.43,557.8,2342.89,1134.48,41.6,241.69,1099.05,1107.15,47.14,4250.14,1315.44,511.68,45.35,849.3,31.3,149.64,670.76,4273.46,42.86,101.05,31.42,163.86,578.7,37.64,95.04,54.85,60.63,37.89,535.83,178.19,767.58,33.25,64.18,231.63,24.25,103.3,330.05,184.45,31.36,532.52,513.82,1411.84,371.71,267.1,1827.26,3029.33,674.48,29.89,68.86,316.36,1544.79,1046.23,72.71,1194.14,118.94,1328.24,842.46,705.26,86.54
DCN,4293.4,999.19,642.2,2311.3,348.69,116.86,136.64,1085.17,3580.99,16334.49,58.1,719.67,3179.98,690.73,4456.06,2622.48,2031.35,62.01,280.01,79.29,410.9,1300.53,16746.88,838.67,871.39,43.78,543.5,1679.98,407.28,1681.58,1179.17,4036.86,41.68,764.98,154.5,919.5,124.57,2785.6,221.22,231.22,985.31,2292.51,297.49,241.8,861.95,398.3,1561.7,7496.61,206.03,98.77,1431.68,611.29,663.87,274.12,509.83,539.93,169.3,1666.04,1115.54,408.53,94.2,5278.6,376.8,34.29,309.87,525.31,3681.12,1240.96,277.63,321.53,2532.29,39.63,363.73,92.87,5031.79,518.47,1621.79,759.27,1874.66,1468.2,296.22,58.2,114.59,2489.68,139.9,58.82,52.23,134.75,59.43,230.52,497.68,130.97,3107.61,646.29,212.71,332.28,1395.25,43.19,3201.64,4280.23,812.34,146.83,1913.88,1382.1,3405.51,167.41,3498.4,2082.87,2053.11,179.46,715.24,1703.02,3857.31,408.18,37.64,7302.03,1626.67,1425.8,7401.41,106.87,611.43,2091.83,3481.76,20806.38,2261.77,14889.79,1030.86,33.54,6394.75,4522.03,130.14,125.2,235.31,2959.48,1359.41,952.74,556.27,1780.37,18481.11,270.79,778.46,310.72,3296.26,9451.03,1651.62,2758.18,287.56,421.23,5626.39,1633.69
DEFB1,64.25,425.77,35.83,850.99,34.93,35.69,361.64,45.65,77.2,291.41,82.72,1787.76,595.38,94.19,248.4,244.91,133.33,231.3,1175.61,221.33,58.6,601.32,45.23,90.07,1316.05,146.33,211.84,37.34,386.11,91.23,243.76,91.75,1440.76,25.96,86.6,546.85,132.66,533.77,128.54,235.23,3460.36,210.07,311.9,1319.04,1275.44,28.8,16.91,160.89,423.84,377.93,54.61,53.97,13.15,117.6,4340.04,1865.75,1097.84,32.23,1174.82,65.41,145.34,2582.59,47.22,751.66,60.71,889.64,116.28,36.96,334.48,207.99,169.26,787.11,47.34,39.38,208.44,201.68,408.84,866.69,100.69,663.47,26.18,243.48,63.36,1353.22,65.01,24.04,538.96,254.73,75.54,97.79,769.77,80.31,54.65,785.61,41.25,78.98,27.08,26.4,102.35,47.14,141.15,312.67,484.62,257.66,618.3,166.12,14.37,375.26,3339.97,263.83,36.04,299.88,960.05,1012.39,37.64,110.62,92.51,104.53,58.29,1350.7,197.06,32.46,252.51,67.75,34.67,24.25,42.64,707.25,279.99,92.99,231.07,29.41,26.47,38.28,378.31,494.53,1562.18,35.62,108.19,28.1,48.01,337.82,1420.89,239.63,2547.81,996.8,669.72,636.66,546.28,45.78
DHCR24,955.33,1591.35,217.39,640.31,161.15,1055.33,570.31,416.16,915.87,1319.03,798.68,1816.32,3437.51,457.87,1746.88,170.27,2405.65,379.92,5448.06,2614.54,524.75,1283.15,214.82,1190.64,3375.59,1878.13,887.3,184.8,3258.28,758.41,3007.38,715.88,2403.08,728.95,1923.89,928.07,464.31,3687.61,5376.46,380.92,1901.47,643.56,311.9,1995.21,4187.32,1341.37,163.3,2387.1,705.23,1061.14,859.87,584.31,1705.27,575.05,2353.77,1336.01,1083.3,1726.31,1116.88,3107.28,1182.24,535.22,532.33,1717.92,434.44,1152.29,1176.5,339.07,4321.74,1750.93,2167.62,3595.47,545.6,561.66,1497.21,1420.34,1208.43,1444.08,3235.11,2925.29,220.07,1153.27,1694.6,1480.58,433.84,304.19,2900.16,431.93,1074.73,1910.49,1025.59,325.05,1131.07,947.37,996.53,829.34,968.86,1883.75,486.8,560.06,1081.94,667.65,1321.02,1746.95,843.77,417.23,1111.95,1724.61,2225.07,2245.92,1743.75,1085.55,2062.86,4100.6,50.68,1650.81,600.07,327.18,1045.25,2400.09,698.08,453.68,1498.08,172.34,1847.01,183.12,374.47,806.27,2107.25,904.58,2156.63,1133.3,1200.06,483.81,784.68,2335.76,1580.72,546.87,174.97,802.15,1327.15,2982.44,3116.99,409.62,1412.32,2197.49,3939.92,1825.04,1579.68,941.33
EFCAB1,24.55,32.97,67.15,152.85,34.93,35.69,274.02,129.06,36.06,26.08,236.35,74.25,43.14,771.84,38.3,171.05,34.88,347.44,28.8,30.15,138.76,26.59,14.79,38.75,39.07,29.08,40.66,37.34,49.82,30.69,49.54,55.57,31.14,25.96,33.41,25.42,192.52,42.43,64.27,371.56,25.77,847.55,481.14,34.78,33.57,1916.49,35.64,217.44,240.18,161.62,113.51,16.34,14.49,530.08,36.23,13.63,91.4,266.91,45.08,28.95,34.74,61.68,28.63,34.29,39.29,47.99,185.82,36.96,37.02,131.59,52.02,52.54,47.34,65.38,74.99,35.59,36.26,38,30.84,61.9,83,380.07,25.77,28.44,32.51,183.8,25.22,90.45,23.72,23.34,25.86,27.68,23.44,32.67,108.29,129.37,27.08,98.39,340.76,64.3,158.8,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,541.2,31.42,37.96,29.84,69.47,48.83,38.22,178.75,37.89,27.54,136.26,32.46,220.95,401.72,315.31,24.25,42.64,33.54,27.55,31.36,34.53,29.41,26.47,38.28,30.76,28.87,25.77,35.62,65.45,28.1,32.41,32.08,43.14,52.23,27.73,30.41,34.96,99.83,59.16,33.76
EFEMP1,24.55,118.75,35.83,121.86,199.66,618.02,23.42,189.64,161.81,899.16,35.96,33.51,109.85,34.93,1091.55,510.03,34.88,52.17,49.29,99.98,32.42,446.64,970.08,69.64,98.02,447.06,216.12,348.79,197.13,232.83,160.53,366.99,31.14,90.08,33.41,107.08,36.17,47.75,42.76,173.75,143,168.78,34.21,34.78,2178.74,212.55,232.1,1354.04,1056.07,88.16,1403.84,103.28,33.24,94.26,98.34,163,30.24,50.58,64.6,176.09,34.74,1354.97,169.42,183.77,39.29,47.99,1028.3,241.95,27.52,43.51,52.02,252.54,172.73,815.74,246.57,386.24,738.99,84.23,131.85,950.76,412.73,43.95,25.77,173.9,91.86,24.04,25.22,180.89,23.72,43.66,25.86,330.78,1096.02,92.88,64.46,128.01,94.99,88.79,254.63,164.69,115.75,25.6,195.57,34.65,59.48,31.3,423.11,223.59,94.48,234.37,401.97,389.51,527.78,204.09,87.46,1509.02,119.52,1079.8,906.31,127.65,240.38,335.97,146.89,394.59,328.65,1624.45,109.76,155.6,635.63,399.03,25.79,29.41,26.47,195.88,247.35,382.77,25.77,911.45,7570.35,180.53,96.88,41.6,748.61,85,426.98,240.14,321.17,501.8,488.05,131.7
ENG,377.1,346.86,498.6,230.3,137.62,166.25,113.62,190.52,756.17,1148.4,145.75,311.29,469.84,261.64,384.72,986.64,668.28,98.43,224.42,82.05,225.66,383.5,970.08,155.93,272.53,306.49,176.18,437.59,303.02,404.4,167.46,564.7,273.65,148.28,192.88,642.51,103.54,350.19,106.12,240.58,693.01,822.05,230.7,237.46,532.76,226.84,868.72,1294.31,180.13,154.27,145.63,328.44,94.6,125.39,267.86,267.78,198.38,385.3,271.73,221.37,121.79,1130.13,193.49,391.24,144.18,346.32,644.11,694.63,210.2,259.99,439.9,293.09,279.03,120.36,925.27,219.76,458.59,510.25,417.12,407.92,229.21,168.66,258.84,427.4,236,124.07,71.23,107.06,203.46,190.35,569.77,315.49,779.48,285.61,180.48,492.97,398.94,275.96,384.45,325.43,316.18,258.25,645.75,352.48,430.18,141.65,727.54,673.37,471.47,633.47,321.13,385.09,362.91,302.11,539.45,1018.22,348.75,240.42,698.7,188.5,248.77,762.67,534.16,3122.26,1418.91,1843.01,220.59,97.44,1283.2,652.65,123.5,151.25,290.21,590.01,252.55,729.23,319.85,650.17,3531.4,260.56,548.69,148.11,493.7,497.69,375.37,577.69,239.01,289.87,610.98,282.84
FAM92B,24.55,32.97,35.83,52.67,34.93,35.69,200.5,29.89,36.06,26.08,64.01,33.51,43.14,308.74,38.3,176.49,34.88,224.41,28.8,30.15,32.42,26.59,14.79,38.75,39.07,29.08,39.81,44.8,49.82,30.69,35.83,33.86,31.14,25.96,33.41,25.42,36.17,42.43,42.76,159.05,25.77,475.99,199.59,34.78,33.57,125.03,19.07,43.01,17.4,41.63,43.9,16.34,13.15,312.17,19.55,13.63,74.78,32.23,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,32.5,36.96,27.52,25.99,52.02,28.97,47.34,39.38,30.84,35.59,36.26,38,30.84,25.26,26.18,451.33,25.77,28.44,32.51,24.04,25.22,8.91,23.72,23.34,25.86,27.68,23.44,32.67,48.99,41.6,27.08,9.07,34.69,47.14,39.52,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,166.18,31.42,37.96,29.84,61.3,48.83,38.22,37.51,37.89,27.54,40.1,32.46,33.25,93.89,107.93,24.25,42.64,33.54,27.55,31.36,25.79,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,49.92,34.64,33.76
FEN1,402.24,307.8,436.11,117.73,474.9,202.39,129.95,308.17,343.72,331.67,191.05,335.56,445.84,34.93,302.93,102.63,228.92,71.85,247.5,300.62,400.8,319.2,119.85,197.56,444.66,411.35,114.83,939.19,242.74,194.71,529.14,289.46,456.69,235.59,527.47,319.83,98.69,519.98,294.46,109.6,331.58,153,182.89,548.75,273.54,116.1,398.71,288.33,927.74,593.42,153.13,186.09,198.56,147.87,540.89,245.95,627.34,121.62,299.7,507.15,265.78,575.02,158.31,1355.13,154.93,420.46,82.08,415.39,464.03,169.79,322.98,506.92,372.87,572.8,170.31,443.32,388.04,377.19,671.24,738.07,634.32,688.87,457.02,433.52,144.14,858.36,239.8,286.11,320.3,511.68,186.05,383.36,236.11,305.73,351.95,424.88,412.66,383.95,505.52,384.09,227.96,334.26,265.68,375.16,183.97,336.11,245.09,397.49,277.78,673.64,113.41,322.01,273.44,385.35,460.98,387.97,323.37,656.45,229.97,155.85,456.3,85.83,1251.64,61.8,298.34,94.51,180.78,1194.47,521.51,426.08,248.33,132.44,26.47,110.92,160.05,500.12,125.16,35.62,81.47,217.75,185.18,286.77,313.73,158.73,469.21,387.39,231.54,248.71,177.47,193.78
