,HH-001,HH-002,HH-003,HH-004,HH-005,HH-006,HH-007,HH-009,HH-010,HH-011,HH-012,HH-013,HH-014,HH-015,HH-016,HH-017,HH-018,HH-019,HH-020,HH-021,HH-022,HH-023,HH-024,HH-025,HH-026,HH-027,HH-028,HH-029,HH-030,HH-032,HH-033,HH-034,HH-035,HH-036,HH037,HH038,HH039,HH040,HH041,HH042,HH043,HH044,HH045,HH046,HH047,HH048,HH-049,HH-050,HH-051,HH-053,HH-054,HH-055,HH-056,HH-058,HH-059,HH-060,HH061,HH062,HH063,HH064,HH065,HH066,HH067,HH068,HH069,HH070,HH071,HH072,HH073,HH074,HH075,HH076,HH077,HH078,HH079,HH080,HH081,HH082,HH083,HH084,HH085,HH087,HH088,HH089,HH090,HH091,HH092,HH093,HH094,HH095,HH096,HH097,HH098,HH099,HH100,HH101,HH102,HH103,HH104,HH105,HH106,HH107,HH108,HH109,HH110,HH111,HH112,HH113,HH114,HH115,HH116,HH117,HH118,HH119,HH121,HH122,HH123,HH124,HH125,HH126,HH127,HH128,HH129,HH130,HH131,HH132,HH052,HH057,HH086,HH120,HH143,HH144,HH145,HH146,HH147,HH148,HH149,HH150,HH008,HH031,HH133,HH134,HH135,HH136,HH137,HH138,HH139,HH140,HH141,HH142
PTGS1,1363.16,2238.21,1435.31,982.15,384.34,1342.06,469.32,1554.01,2118.35,1338.2,890.27,1417.93,3546.44,824.17,872.43,552.8,1220.09,593.51,3937.91,1083.87,1246.19,1812.63,694.21,844.73,2853.24,4886.6,883.02,554.39,11661.38,2554.36,1084.04,1076.41,4653.92,1855.63,1820.56,2001.77,469.16,7064.29,2603.78,609.47,1005.74,1426.75,959.24,1972.04,965.33,1575.35,126,1099.16,931.28,1550.89,804.18,688.52,656.2,668.44,1643.37,1289.44,1704.4,1300.12,1884.1,2771.19,662.78,947.08,1141.51,2330.87,920.11,3130.67,1470.62,2277.26,3484.89,2542.56,1237.94,5377.99,47.34,414.56,2727.51,4742.38,3120.57,2203.35,3978.27,1034.88,267.28,640.18,3019.82,1822.25,411.23,862.03,3059.24,884.16,1423.23,2409.94,2527.92,2050.65,475.32,1119.98,6809.43,2501.63,987.86,1823.76,3009.41,1281.98,2356.56,2315.63,2014.74,863.68,2098.36,542.15,1375.11,5775.3,1862.26,1177.2,2209.73,1425.27,2270.96,7425.12,42.5,621.68,2561.57,959.59,1125.9,1623.81,746.3,578.75,955.42,213.94,3187.09,313.08,564.93,33.54,877.14,1087.18,2375.75,1003.76,1717.74,534.55,429.23,2654.27,1297.95,765.62,134.9,132.14,1125.68,1240.37,1770.33,469.02,1984.76,3659.83,9968.67,2177.96,1089.78,2497.88
RGS16,71.23,47.65,55.18,516.38,39.93,35.69,23.42,58.82,92.01,506.14,39.39,168.49,174.46,34.93,142.38,38.2,59.44,31.77,32.51,30.15,68.04,39.97,198.99,75.69,87.26,62.22,104.85,100,49.82,127.99,84.23,239.06,39.87,45.73,33.41,49.97,36.17,54.12,42.76,30.34,25.77,70.43,34.21,34.78,33.57,28.8,85.38,50.18,21.19,37.55,214.16,16.34,103.97,19.16,31.06,32.02,30.24,41.97,45.08,50.31,34.99,149.23,28.63,34.29,39.29,47.99,32.5,105.8,51.56,25.99,174.16,30.42,183.53,39.38,47.03,35.59,44.32,38,169.01,71.43,94.42,169.84,59.32,105.32,32.51,51.46,70.04,29.53,57.41,55.88,25.86,27.68,57.74,32.67,26.9,61.28,127.7,31.2,180.99,188.38,57.17,25.6,34.68,52.56,197.8,45.07,92.88,36.3,76.53,56.25,61.76,80.78,104.55,72.51,86.64,61.54,363.48,84.67,480.7,27.54,40.1,206,98.33,55.86,115.21,643.87,63.49,33.54,43.79,310.26,38.51,29.41,26.47,67.26,89.38,81.03,69.53,35.62,532.92,33.5,52.3,32.08,86.14,1287.24,121.99,72.49,34.96,87.57,373.43,130.44
SERPINF1,1412.05,915.6,163.54,2950.57,339.42,148.18,92.08,741.01,886.26,11735.14,55.15,1005.26,1885.83,837.25,3021.2,1640.51,1128.53,87.6,205.55,47.57,216.9,776.26,11781.16,608.57,610.81,119.83,905.84,1265.58,345.38,1275.82,929.46,1079,81.55,760.82,104.31,802.42,116.48,1190.65,106.12,284.69,722.87,669.05,316.46,1549.26,491.41,401.87,1824.47,5223.42,737.01,138.76,772.06,459.63,349.41,286.23,491.72,459.89,231.62,1090.25,188.48,690.28,94.87,4265.86,155.53,305.88,97.7,610.04,519.85,252.35,107.08,288.64,1333.6,104.15,213.42,181.28,788,534.65,605.12,898.43,1778.77,1104.72,637.37,188.85,93.02,2187.19,148.38,1156.12,73.6,107.06,377.72,220.04,306.98,156.79,2433.3,428.02,114.74,268.27,1041.69,1315.03,1415.46,2773.77,496.15,86.37,736.77,857.5,2632.29,68.25,2027.83,529.54,1250.95,890.6,392.99,1697.49,2736.41,566.62,1804.69,2445.44,1866.53,642.87,4679.28,157.33,163.51,1594.01,1994.61,763.04,875.6,10378.75,606.9,80.16,3695.66,4167.81,167.32,69.47,352.96,1105.68,840.8,1179.06,254.96,1901.9,24970.93,532.28,1500.33,158.83,2127.48,6962.57,1977.72,1727.4,266.4,460.64,4392.41,388.2
SFRP4,24.55,100.78,35.83,929.48,69.17,35.69,23.42,337.14,291.89,1518.42,35.96,355.55,260.31,1043.95,600.81,1239.32,34.88,31.77,55.58,30.15,58.6,47.5,4156.19,149.11,135.07,29.08,39.81,75.2,109.15,216.49,179.35,33.86,31.14,203.72,38.38,89.95,36.17,76.41,42.76,30.34,25.77,245.28,34.91,123.07,33.57,28.8,142.58,595.78,28.26,39.18,51.4,94.9,36.64,25.08,173.39,171.73,44.66,32.23,93.91,84.52,34.74,439.72,28.63,34.29,39.29,47.99,92.34,56.37,27.52,53.06,82.58,36.87,48.17,39.38,210.98,35.59,451.35,63.48,382.36,190.47,53.3,32.99,25.77,210.64,32.51,24.04,25.22,8.91,23.72,61.12,25.86,43.02,383.55,140.09,26.9,59.92,197.36,163.18,63.66,892.82,117.16,25.6,264.45,78.33,329.21,31.3,957.16,139.9,149.28,25.64,136.99,289.92,685.61,41.62,37.64,230.6,267.7,100.35,848.82,27.54,40.1,625.34,98.33,961.52,335.93,5556.6,94.69,33.54,492.31,586.71,25.79,32.57,674.54,830.73,603.84,150.87,25.77,2114.57,5564.23,38.15,54.01,62.4,777.32,507.93,943.11,428.17,75.94,125.23,535.19,65.85
SLC25A25,83.8,161.71,73.79,234.43,78.44,59.03,389.86,53.56,86.72,304.83,100.45,228.47,277.84,546.83,112.08,146.17,161.45,144.69,751.93,107.56,94.98,101.38,318.84,81.75,530.72,798.49,155.49,198.4,164.54,164.75,111.97,294.62,80.65,157.98,75.77,88.52,80.89,67.92,153.95,69.5,95.86,188.21,132.81,66.6,65.2,69.66,92.84,205.5,136.57,131.42,271.99,73.5,76.7,229.15,119.05,61.12,171.38,350.86,45.08,252.57,39.7,89.54,28.63,345.01,39.29,133.45,389.89,216.8,88.58,98.69,449.71,455.31,101.31,57.21,238.94,102.74,270.45,146.48,98.29,642.83,103.56,176.97,141.55,112.67,72.07,79.04,223.18,191.97,55.4,66.36,25.86,125.24,134.04,108.36,170.17,324.11,507.65,141.58,376.96,95.88,375.47,120.06,201.72,83.48,237.92,177.71,139.32,146.44,69.92,346.87,522.12,125.04,102.54,147.7,141.4,174.51,86.78,173.52,110.19,77.18,93.64,100.55,313.21,603.77,219.51,267.79,96.85,183.89,173.84,193.6,167.32,244.61,26.47,92.04,97.69,265.43,324.49,279.51,960.32,87.47,67.73,83.2,133.05,168.97,276.83,240.14,103.32,330.15,323.52,37
SMC4,1145.28,609.36,1261.8,1298.17,1133.78,1114.36,394.31,1286.23,1324.1,1198.25,1503.8,488.35,2264.29,358.45,1441.93,269.79,2373.52,417.32,1342.35,1043.19,885.13,1437.25,601.49,835.64,2214.94,1370,3314.52,1523.18,1089.89,516.05,799.66,1050.57,568.15,1014.43,2369.68,1496.33,540.35,1551.45,2213.66,811.29,1379.74,928.9,475.07,904.94,1496.49,660.86,906.85,1397.85,1616.49,3290.33,616.79,450.33,614.44,600.12,1557.96,752.41,2960.12,506.92,1314.01,1463.08,566.56,1693.21,427.72,3975.28,890.39,1617.23,524.41,1795.1,3547.02,1119.53,1286.18,1485.75,1658.39,1292.71,809.61,2401.16,2073.15,1358.63,1227.4,1158.69,2250.97,2430.06,1224.1,1110.74,350.47,1711.2,1646.55,1186.88,883.35,1154.33,641.86,337.47,2268.33,1546.45,1482.55,1070.38,1596.83,1590.99,2262.99,1109.96,1137.7,918.13,849.93,1939.68,1651.58,679.94,2334.84,1799.14,1381.34,1794.6,494.04,1095.51,1007.3,761.31,846.77,715.17,890.7,2415.71,2073.74,727.3,2163.42,267.3,2241.05,232.95,1415.27,320.95,715.58,3230.56,1737.02,1024.62,1168.62,363.29,533.36,659.63,480.16,3162.77,463.55,911.45,406.03,781.67,1082.81,1362.64,1406.18,858.16,2336.67,1140.65,2350.26,839.83,847.61,649.71
SNTN,24.55,32.97,35.83,286.07,34.93,35.69,594.81,29.89,36.06,26.08,161.51,33.51,43.14,1054.41,38.3,345.98,34.88,801.18,28.8,31.03,32.42,26.59,58.79,38.75,39.07,29.08,39.81,37.34,49.82,30.69,85.22,33.86,31.14,25.96,33.41,25.42,160.16,42.43,42.76,593.43,25.77,2035.09,890.94,34.78,33.57,623.35,16.91,166.47,41.21,25.55,98.52,16.34,13.15,1014.33,19.55,13.63,55.05,79.64,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,193.8,36.96,27.52,25.99,52.02,28.97,47.34,39.38,69.9,35.59,36.26,38,30.84,65.08,26.18,837.34,25.77,28.44,32.51,24.04,25.22,8.91,23.72,23.34,25.86,27.68,23.44,32.67,211.42,41.6,27.08,9.07,63.66,47.14,78.34,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,791.59,31.42,37.96,29.84,37.64,48.83,38.22,37.51,37.89,27.54,40.1,32.46,33.25,379.14,73.98,24.25,42.64,33.54,27.55,31.36,50.46,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,156.76,53.61,33.76
SPARC,19969.77,10988.71,5358.98,13746.97,3230.2,867.4,1514.88,20075.71,16905.53,64946.84,1838.64,12140.2,22703.84,5261.59,35470.78,15594.16,7736.64,1671.26,2804.26,1059.05,4325.28,11961.42,60020.58,7520.04,6050.73,1713.36,6248.87,22239.67,9841.63,9706.85,13726.93,5073.22,810.09,8216.58,2344.09,7682.96,2967.06,11850.23,2044.76,2177.25,7257.01,7485.88,3427.16,2455.64,4149.15,2089.75,14044.54,11303.07,2591.33,772.18,5272.7,4217.65,4430.63,2105.62,4116.18,3398.23,1524.72,7571.45,2037.28,2140.28,1498.49,17823.49,2220.99,2942.63,1552.49,9335.88,3166.97,12682.76,3250.89,3485.94,30382.6,8948.57,8083.51,1639.66,6302.77,11173.37,9721.71,2200.91,11114.94,23253.09,6063,500.03,2220.38,24115.47,2766.99,4303.74,477.23,1373.3,345.48,2539.17,4553.51,4139.55,20084.02,1730.66,1567.64,4887.5,17150.36,7254.24,26169.79,41644.38,5142.23,2864.95,5888,17298.4,69326.15,2597.41,20082.24,6752.02,14235.72,9661.36,3189.96,5912.44,27383.16,6074.37,8626.22,65991.71,23027.13,4441.52,40553.23,1401.16,7370.73,8122.09,42763.27,41974.08,30660.6,31957.32,4518.36,1335.92,14664.52,39436.09,1621.46,3423.78,1772.64,9043.64,22406.4,13402.67,3309.78,65733.98,49051,2964.78,4505.28,2323.81,37152.42,72976.41,18862.26,16861.73,4002.16,2988.9,19040.25,2291.55
SPP1,3628.58,6471.67,1949.87,5187.52,645.33,4758.64,725.51,817.39,1574.75,14271.59,1143.36,2630.23,14406.36,816.32,1735.77,419.85,10164.78,589.57,1764.98,1172.82,3532.44,8113.7,65081.28,4203.96,3613.46,1146.47,2873.01,1511.18,5146.45,10395.82,2972.7,7543.92,3794,457.32,1980.96,10284.4,1182.62,10022.87,1100.1,1690.75,5775.12,1391.54,703.49,2995.71,7975.47,3431.12,209.72,2201.51,1293.9,4945.71,2969.37,2302.82,1199.06,1543.54,9961.13,5287.27,3164.73,474.63,2596.72,2218.77,4543.9,26613.86,776.75,5756.03,2098.55,2334.23,1328.12,5981.06,2072.95,1981.2,5720.35,3827.73,3090.9,677.56,1066.35,554.63,8696,712.88,10518.02,3714.15,4894.11,1994.17,2522.36,8134.01,1033.03,583.57,1367.57,2440.2,8834.52,2181.17,1200.01,3122.35,3386,7681.16,4973.64,17593.1,5792.07,3813.09,4221.42,1860.65,1896.4,1530.51,3273.03,5553.13,2085.91,664.48,3570.63,4524.01,5967.53,9745.73,2484.82,4039,2270.96,5310.37,152.84,14520.7,10110.39,2365.53,8010.67,4466.21,6716.67,3482.3,4882.72,178.28,5285.14,4274.76,2184.39,1586.6,1654.75,7267.88,1435.54,937.9,250.99,447.23,1417.61,3581.87,3078,4472.2,605.04,1320.47,1391.45,4040.66,5187.04,10608.22,9707.96,12296.85,9204.34,3202.58,11950.65,1180.27
SUSD2,24.55,351.55,35.83,211.71,34.93,397.56,233.92,50.92,36.06,199.39,53.18,471.21,150.46,355.83,81.79,86.3,34.88,244.1,847.36,87.56,160.32,26.59,52.01,146.09,252.21,89.87,39.81,108.8,120.56,185.18,146.65,71.07,67.05,25.96,52.16,2141.69,605.06,46.69,124.06,850.05,210.58,298.71,59.95,34.78,900.12,937.71,16.91,137.79,649.89,48.98,334.09,94.9,58.8,391.72,124.22,355.1,232.65,32.23,111.89,258.6,34.74,696.39,28.63,116.19,39.29,47.99,608.77,36.96,87.25,25.99,141.46,50.69,47.34,39.38,30.84,65.64,291.25,1506.33,30.84,50.79,26.18,119.96,41.79,140.83,79.14,24.04,42.74,129.21,32.23,23.34,141.86,27.68,42.27,32.67,26.9,213.8,62.27,151.18,72.4,47.14,74.11,49.23,544.89,333.93,597.56,109.46,105.78,99.37,198.41,1067.38,449.13,594.23,87.46,29.84,37.64,148.02,38.22,42.86,93.43,311.7,40.1,694.01,88.62,35.61,187.98,183.12,57.03,473.86,91.56,31.36,43.82,29.41,26.47,38.28,348.17,271.02,433.42,35.62,69.45,859.84,241.77,32.08,712.89,32.77,1182.41,172.17,113.28,363.43,55.46,33.76
TEKT1,24.55,32.97,35.83,265.42,34.93,35.69,681.7,31.61,36.06,26.08,203.86,33.51,43.14,784.92,38.3,448.61,34.88,512.8,47.19,50.33,32.42,26.59,52.01,38.75,39.07,29.08,65.62,37.34,49.82,30.69,43.6,33.86,31.14,52.66,33.41,25.42,131.04,42.43,42.76,471.8,25.77,1044.26,509.98,34.78,33.57,814.47,47.25,148.94,68.29,60.4,121,16.34,23.86,1022.11,19.55,13.63,146.45,170.05,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,132.24,36.96,27.52,89.14,52.02,28.97,47.34,39.38,64.82,35.59,36.26,38,30.84,104.76,26.18,325.43,25.77,28.44,32.51,24.04,25.22,79.37,23.72,23.34,25.86,27.68,23.44,42.57,197.24,41.6,27.08,9.07,124.82,47.14,153.15,36.28,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,640.01,31.42,37.96,29.84,37.64,48.83,38.22,67.95,37.89,27.54,42.63,32.46,46.13,241.27,123.7,24.25,42.64,33.54,27.55,31.36,59.76,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,132.24,87.81,33.76
TIMP3,529.34,1017.15,257.28,5813.36,484.17,136.13,118.07,1906.08,3839.04,14072.2,293.47,926.72,3789.2,824.17,7512.6,450.17,583.14,59.06,1388.49,128.93,980.11,901.39,21735.22,1386.68,1312.47,424.02,1440.07,4502.33,2112.99,3224.27,2734.88,595.71,51.65,3338.46,764.63,356.95,79.27,1958.94,1121.03,139,1558.89,455.35,59.19,179.54,11814.51,576.91,1318.83,2925.53,198.97,166.52,12622.79,357.29,693.7,113.28,920.03,272.15,123.6,1783.35,222.44,441.74,142.65,2652.23,2259.88,456.45,104.34,1185.12,4199.83,816.9,715.22,481.77,1978.74,1041.5,1121.93,216.19,2694.47,1407.97,1904,493.16,2550.69,1698.35,2107.81,32.99,70.1,3198.74,151.21,429.18,149.58,326.71,103.75,508.18,1600.01,576.48,2185.85,79.72,917.89,467.1,1843.8,2738.04,3873.17,2552.12,683.89,541.55,206.64,584.38,1777.45,472.61,1011.34,674.68,4014.57,344.19,797.21,850.96,4305.67,695.52,3006.18,1752.86,7594.66,954.37,9674.77,477.94,240.38,2869.22,3876.31,543.16,2504.32,5611.73,1215.94,770.9,554.68,18799.95,1962.75,1588.5,360.8,1354.66,2264.65,1830.05,354.62,7905.33,2225.16,208.45,360.08,246.44,3339.68,24635.76,4267.47,1200.69,1227.41,206.67,2709.21,561.91
TK1,162.02,278.9,143.6,56.8,106.96,297.57,75,338.02,151.23,226.23,179.23,294.15,452.3,34.93,106.02,39.65,379.12,53.15,152.06,226.84,203.43,456.49,49.75,185.45,221.13,235.05,323.11,257.6,112.41,69.44,340.87,151.19,134.11,83.15,273.58,94.23,36.17,411.74,188.33,50.79,121,45.92,56.92,515.45,273.54,66.09,97.81,216.65,333.19,337.93,78.17,110.72,161.07,56.21,408.9,141.17,325.09,45.2,259.74,260.62,115.73,238.76,65.73,323.67,173.27,418.34,37.62,162.17,374.14,102.93,213.41,221.2,234.18,335.06,118.2,212.15,180,157.47,408.73,134.92,100.52,299.3,118.64,271.87,32.51,187.48,105.65,245.5,126.91,169.39,25.86,280.11,679.47,295.67,237.21,198.82,224.8,239.97,294.58,146.08,103.75,185.7,95.94,383.4,114.81,108.17,299.27,167.36,218.26,254.46,51.65,185.9,261.38,126.21,97.26,188.53,186.65,445.3,151.72,167.72,515.7,98.09,497.74,35.61,226.78,57.1,42.64,414.13,195.07,197.82,61.09,41.97,26.47,119.18,208.9,1363.46,88.08,35.62,29.89,46.53,137.17,144.33,389.36,92.17,309.68,159.71,319.92,233.82,158.06,79.02
UBE2C,2301.73,1759.32,1931.92,275.74,1502.44,2219.09,187.13,1433.73,1405.53,1180.99,1652.51,2199,1768.6,667.18,859.3,146.95,3269.92,154.53,1059.2,1627.88,1840.32,3078.41,205.77,962.05,509.21,1263.99,833.09,1247.18,998.66,454.77,2236.46,1031.18,620.7,1014.43,2523.19,973.76,220.02,1276.6,1050.78,203.16,454.15,151.78,302.8,2813.27,2972.31,226.84,1590.71,630.03,1245.63,1463.55,173.47,465.22,482.35,171.22,860.5,433.69,3898,847.01,998.33,2195.62,449.48,4043.01,466.6,1375.28,655.46,2138.3,100.32,1276.51,1575.87,1355.11,2151.26,1777,2381.7,2210.23,503.31,1710.49,1591.04,993.64,1232.2,625.37,2308.08,1551.15,1174.22,1712.04,111.64,4403.91,2428.87,1131.5,1084.8,963.98,190.7,3731.33,2508.57,976.79,1214.4,817.08,2122.42,3736.31,665.29,1691.45,341.59,1140.11,618.69,1868.56,1473.14,905.3,1426.71,1249.99,762.48,2343.69,123.51,1403.14,1077.67,618.98,946.48,561.69,1836.24,2639.41,2138.42,774.8,786.13,779.84,2980.38,110.53,1349.78,998.3,731.72,1221.97,1251.35,1002.64,995.98,601.39,588.27,1148.16,1076.72,2601.19,832.08,832.46,332.57,276.38,824.75,1846.06,1082.65,871.47,1801.77,1284.51,2448.6,1818.03,738.54,434.61
ZWINT,305.87,378.89,812.39,71.26,358.67,273.47,67.58,261.64,609.17,416.03,619.44,301.29,343.38,34.93,350.39,76.19,800.01,64.96,369.15,315.1,380.59,454.17,74.62,179.39,308.39,418.26,442.93,644.79,149.88,100.76,820.47,616.38,261.87,191.24,1282.26,406.92,36.17,613.36,252.61,62.82,152.43,86.21,138.88,906.39,791.98,53.58,268.57,212.66,183.67,670.15,77.1,186.09,226.69,88.2,267.86,158.63,594.1,196.95,402.93,358.22,178.98,421.81,64.81,917.65,208.69,353.74,32.5,497.77,304.07,132.65,446.44,603.7,783.94,772.65,179.21,448.08,486.63,269.77,468.67,336.5,353.33,497.65,322.2,384.53,65.01,384.15,641.05,428.23,161.16,275.92,25.86,364.24,145.38,464.4,834.1,339.09,343.01,273.56,503.03,341.22,171.5,221.11,135.3,195.82,349.96,101.73,456.65,570.08,271.17,539.72,93.19,491.32,376.98,276.6,337.56,193.2,376.58,969,386.48,224.13,365.46,152.04,784.25,42.79,284.99,126.02,205.53,255.4,305.21,504.7,304.11,146.19,227.46,483.81,212.02,980.68,231.78,376.73,84.14,59.56,161.18,378.16,436.98,223.24,581.82,434.97,351.04,512.31,287.47,153.65
ABCF1,614.54,353.11,794.44,222.04,339.42,769.82,190.1,464.45,854.53,448.62,261.96,404.1,218.77,232.86,296.87,181.93,367.07,197.84,206.6,459.2,307.17,391.03,260.04,265.68,546.26,616.44,231.1,987.19,216.68,235.56,320.06,276.53,531,353.39,669.18,489.73,210.32,380.96,460.37,240.58,369.29,251.35,232.98,236.01,386.45,217.91,378.82,285.94,373.22,403.23,176.68,249.36,511.33,201.48,375.26,443.88,383.26,462.79,360.97,267.66,234.16,338.24,289.78,575.01,465.12,331.5,320.35,412.79,653.09,423.41,767.78,549.32,295.64,1008.16,185.56,520.38,420.6,347.9,219.35,557.12,528.48,317.12,301.98,411.48,204.91,465.94,402.44,526.06,329.37,364.98,423.26,689.29,489.75,250.78,244.94,441.22,697.62,602.32,445.61,865.18,392.41,413.72,436.65,287.55,426.04,576.92,356.03,550.46,289.12,504.9,262.74,346.36,460.42,664.64,510.84,316.29,307,583.28,495.88,305.76,399.7,546.87,458.89,311.39,362.61,346.55,430.42,454.21,272.03,424.39,297.47,436.39,400.02,562.87,223.45,318.51,463.55,249.13,277.81,375.02,438.1,257.78,224.79,372.76,215.84,398.72,275.11,327.53,263.43,788.94
ACTB,15056.24,16802.58,14918.85,24957.5,11908.97,13415.75,13345.06,12029.97,14643.35,30423.94,16969.21,20303.64,26415.51,13728.28,21500.78,16912.78,23297.46,14109.28,21856.21,19171.2,13497.89,20716.98,36211.79,13801,14151.44,13916.61,12887.18,18786.12,33113.88,20561.53,18973.75,16042.79,25140.77,13032.34,14459.16,21956.62,14370.99,19355.97,20156.13,15034.93,22071.17,15935.88,17251.91,16920.18,14661.19,18546.96,15027.65,24158.5,13326.31,14289.41,14056.61,13344.27,6466.56,14040.62,15003.8,17225.48,17164.51,19467.3,14874.36,14358.09,12573.28,25087.78,9510.74,19737.67,13069.08,22033.31,18334.93,25372.46,21516.14,11408.63,29933.71,17193.91,17122.03,17997.58,21404.5,22220.21,23842.08,23351.81,19987.23,32052.76,13039.02,16532.96,12909.72,18571.56,12999.76,16578.99,19005.96,11015.97,12377.99,11103.2,12990.75,16151.89,24143.3,23424.3,19225.49,20071.58,19378.32,16735.38,18842.85,21212.76,15768.27,21490.18,29560.55,15907.02,20507.78,14457.68,26534.66,20061.23,21398.46,18828.54,20917.19,17181.81,22342.62,16983.79,18430.22,30482.64,21619.05,16276.51,22442.98,14247.64,14345.95,13298.95,19664.43,28040.96,24981.32,33459.69,18823.44,18004.25,32991.53,31938.27,13781.73,14869.69,14855.67,17212.9,15492.93,21264.91,22806.89,26547.58,33882.25,15424.11,21934.82,18212.91,25641.08,21912.79,26052.91,20234.99,20095.44,15004.03,26221.36,15452.62
GAPDH,25665.44,33927.04,20853.54,28486.42,39839.17,21263.29,40459.18,31412.96,19695.44,22678.48,34208.27,22566.89,49000.28,24680.55,35353.65,44295.27,43095.29,43991.24,56406.03,33605.63,39200.34,34109.28,22237.21,57165.17,35865.7,49386.8,61751.21,22368.47,51177.77,36232.18,38770.93,48381.64,32385.34,45901.43,31679.65,25830.23,36942.64,68999.16,22981.13,26931.63,36863.33,31464.98,39334.93,85882.31,59276.1,31574.83,45954.15,34717.64,37209.84,41305.09,39733.72,46004.32,21143.3,44025.14,40174.48,28604.84,40194.21,27033.38,34326.12,52223.02,114276.52,40919.61,30349.57,31058.84,15270.07,26691.18,22036.58,20554.32,16567.76,37527.2,17999.96,38793.43,42899.73,25269.42,38508.01,36942.05,29033.99,24554.19,54821.93,24732.4,25353.11,37296.56,44868.56,33854.97,34187.44,25758.09,53706.97,45658.7,76989.52,53029.23,35176.89,34616.39,27532.4,41857.86,61639.39,48270.38,22155.1,28762.59,42724.68,20066.14,46166.41,28317.01,22684.86,47790.12,21713.96,26825.32,34207.4,32850.06,45484.95,46413.1,30808.19,29049.84,28102.95,30703.48,22257.01,29740.21,63054.46,56480.15,33017.67,57861.82,35011.65,31747.77,35482.89,19591.71,31201.48,25756.85,31421.9,53329.06,34383.54,32869.89,41592.2,37463.34,14290.93,15482.99,44574.8,39456.44,23432.69,28826.22,18438.37,55121.07,26139.18,61368.13,53895.63,30997.21,40140.95,31856.74,49630.48,39965.22,40781.38,21685.72
RPL19,17522.78,20671.99,16836.14,26359.98,25840.2,18949.02,40540.87,23708.76,16884.38,13443.36,27364.84,22474.08,14695.28,52741.5,18440.2,30530.55,11290.9,33887.87,16337.89,14065.55,25602.75,15059.52,19871.94,19852.6,15008.49,9821.59,22626.75,10031.05,11332.29,23712.27,17673.69,19387.03,9624.99,19684.31,13575.45,14981.85,37267.82,8178.53,19513.41,42716.38,13849.29,33016.8,26319.92,12133.42,12390.21,32608.99,15906.31,17350.86,22484.84,17484.24,42167.69,27183.52,59521.68,33411.44,18396.64,19025.75,15737.43,17085.55,22577.95,20733.64,12368.06,11983.8,49749.7,11804.9,44830.35,21344.9,32149.69,19329.83,17873.93,22955.22,10058.85,11356.92,19162.42,9075.68,27206.5,9741.62,14292.22,20860.38,17313.07,9421.87,23818.7,21280.25,23789.15,16084.33,45693.48,20913.05,10129.79,15726.56,13257.31,19363.37,21514.04,10797.25,12782.05,16923.48,14335.64,9734.15,13893.37,14352.5,11599.53,11299.26,14567.05,16528.12,14211.4,19036.07,21933.89,18597.83,12876.47,11470.85,14787.5,9431.01,24576.49,24070.25,14393.78,12006.41,19858.12,14512.13,9943.39,7760.38,11324.5,16508.2,20727.2,18022.12,12995.91,24324.43,14722.71,13932.84,16345.29,9541.6,13484.83,9339.95,24404.21,17117.47,48998.6,27739.82,26965.83,15570.79,16796.91,21826.26,23975.88,13051.17,16566.21,14442.64,13395.12,16435.11,18435.28,16190.03,15165.87,21187.62,14771.7,15739.85